material_id;band_gap
mp-1674159;0
mp-1674211;0
mp-1674216;0
mp-1674252;0
mp-1674280;0
mp-1674528;3.4687
mp-1675118;1.0908
mp-1675661;5.2002
mp-1675698;0
mp-1676059;5.6128
mp-1676084;0
mp-1676597;3.7376
mp-1676817;0
mp-1676820;1.6239
mp-1677079;0.1941
mp-1677343;0
mp-1677429;1.6969
mp-1677535;0
mp-1677614;0
mp-1677668;7.7821
mp-1677669;0
mp-1677678;0
mp-1678400;0
mp-1678519;0
mp-1680054;3.1049
mp-1680082;0
mp-1683392;5.197
mp-1683744;4.018
mp-1684908;3.97
mp-1685416;5.525
mp-1686422;0.8
mp-1686884;0
mp-1687400;0
mp-1687436;0
mp-1687544;0
mp-1687640;0
mp-1687680;7.2479
mp-1687777;0
mp-1687927;3.3095
mp-1687940;0
mp-1687996;0
mp-1688026;0
mp-1688177;0
mp-1688396;0
mp-1688523;0
mp-1688571;2.5931
mp-1688658;0
mp-1690511;0
mp-1694953;0.7541
mp-1695483;0
mp-1695562;0
mp-1695618;0
mp-1695812;0
mp-1696052;0
mp-1696411;2.2196
mp-1696565;0
mp-1696611;1.3156
mp-1696619;0
mp-1696652;0.8389
mp-1697149;0
mp-1697169;2.664
mp-1697200;0
mp-1697602;0
mp-1697860;0
mp-1697870;0
mp-1697969;0.3863
mp-1698594;0
mp-1698627;6.368
mp-1698685;0
mp-1698820;0
mp-1699041;4.962
mp-1699140;1.4375
mp-1699830;1.8948
mp-1699934;0.3877
mp-170;0.0451
mp-1700102;0.4426
mp-1700298;0
mp-1700485;0
mp-1700490;0
mp-1700636;0
mp-1700652;0
mp-1700851;0
mp-1700880;3.39
mp-1700908;0
mp-1700957;0
mp-1701087;0
mp-1701205;1.1954
mp-1701254;0
mp-1701665;0
mp-1702013;0
mp-1702109;0
mp-1702478;4.4621
mp-1702657;0
mp-1702835;0
mp-1702852;2.4977
mp-1703303;0
mp-1703535;0
mp-1703572;0
mp-1703740;4.2997
mp-1703829;0
mp-1704417;3.4647
mp-1704457;5.6193
mp-1704790;0
mp-1704968;5.0892
mp-1705260;0
mp-1709113;1.248
mp-1709129;3.3556
mp-1712385;1.1489
mp-1716449;0
mp-1718331;0
mp-1726783;3.6503
mp-1727476;3.0108
mp-1730339;0
mp-1731093;0
mp-1733455;0
mp-1733832;0
mp-1733988;4.6966
mp-1734098;4.2685
mp-1734989;0
mp-1742601;0.9321
mp-1742624;5.085
mp-1743672;4.6614
mp-1746458;0
mp-1751163;4.1826
mp-1752084;0.5679
mp-1752813;0
mp-1754451;0
mp-1754641;5.1673
mp-1757691;0
mp-1760264;0
mp-1760944;2.1501
mp-1760968;0
mp-1761275;6.5079
mp-1764290;0
mp-1764757;0
mp-1765090;0
mp-1766311;0
mp-1767393;2.8463
mp-1767701;0
mp-1768633;0
mp-1771522;0
mp-1773285;1.1391
mp-1773879;0
mp-1776106;0
mp-1776133;0
mp-1776789;0
mp-1777361;5.2835
mp-1777610;1.3192
mp-1777623;0
mp-1779415;0
mp-1779601;1.2414
mp-1780759;0
mp-1780867;0
mp-1781329;0
mp-1781982;0
mp-1782230;6.5031
mp-1782244;1.9779
mp-1782675;0
mp-1782765;0
mp-1783291;0
mp-1783466;0
mp-1783794;0
mp-1783848;0.7972
mp-1783983;0
mp-1784340;0.357
mp-1784531;0
mp-1784808;0
mp-1784890;0
mp-1785252;0
mp-1785662;2.5927
mp-1786009;0
mp-1786048;0.0015
mp-1787034;4.9199
mp-1787543;0.4603
mp-1788009;4.4575
mp-1788345;3.3937
mp-1788569;0
mp-1788680;0
mp-1788973;0
mp-1789267;0.0002
mp-1791003;0
mp-1791293;0
mp-1791337;0.4782
mp-1791981;0
mp-1792016;0
mp-1792103;0
mp-1792244;0
mp-1792270;0
mp-1792790;0
mp-1792994;0
mp-1793106;0
mp-1793300;5.1961
mp-1793857;0
mp-1794169;0
mp-1794317;0.3004
mp-1794576;7.2447
mp-1794589;0
mp-1794662;0
mp-1794692;0
mp-1794883;0
mp-1794891;0
mp-1794896;0
mp-1795008;0
mp-1795425;0
mp-1795512;0
mp-1795736;2.2156
mp-1796073;0
mp-1796451;0
mp-1796508;0
mp-1797236;0
mp-1797243;0
mp-1798653;0.3945
mp-1798811;0
mp-1798899;0
mp-1799060;0
mp-1799360;0
mp-1799646;0.6272
mp-1799723;1.8928
mp-1800736;0.2072
mp-1801227;0
mp-1801348;0
mp-1801569;1.6903
mp-1801655;0
mp-1801658;0
mp-1802266;0
mp-1802415;0
mp-1802529;0
mp-1803167;0
mp-1803507;0
mp-1803574;0
mp-1803794;0
mp-1804000;5.6177
mp-1805285;0
mp-1805312;0
mp-1805402;0
mp-1806407;1.624
mp-1810115;0
mp-1811094;1.2483
mp-1811389;0
mp-1816090;4.2703
mp-1816535;4.1844
mp-1816760;4.6613
mp-1819282;3.6538
mp-1819337;2.396
mp-1820012;4.6969
mp-1820266;0
mp-1820911;4.3159
mp-1824997;2.4453
mp-1826230;0.6373
mp-1826799;5.1638
mp-1827458;0.7496
mp-1827646;1.4376
mp-1827995;0
mp-1828485;0
mp-1829004;0
mp-1829198;0
mp-1829781;0.0685
mp-1830078;0
mp-1832650;0
mp-1832928;0
mp-1832933;2.6141
mp-1833227;1.8711
mp-1833255;0.0848
mp-1834037;3.4655
mp-1834194;6.3674
mp-1834524;3.6194
mp-1834902;0
mp-1835089;2.4961
mp-1835695;0
mp-1835808;0
mp-1836630;0
mp-1839295;3.3084
